SPECIES_CLEAN;SPECIES_AI_Correct;Justification
BRUMPTOMYIA CUNHAI;Brumptomyia cunhai (Mangabeira, 1942);The species was originally described by Mangabeira (1942) under the binomen Phlebotomus cunhai. It was later reassigned to the genus Brumptomyia França & Parrot, 1921, following the taxonomic restructuring of the subfamily Phlebotominae. The genus Brumptomyia is morphologically distinguished by males possessing a coxite with a basal tuft of long setae and parameres with specific arrangements of spines. Taxonomic revisions by Galati (2003, 2018) confirm the validity of this species within the Brumptomyia genus based on these diagnostic genital characters.
MYGONEMYIA MIGONEI;Migonemyia (Migonemyia) migonei (França, 1920);"The species was originally described as Phlebotomus migonei by França (1920). It was later widely cited under the genus Lutzomyia following the classification of Young and Duncan (1994). However, the currently accepted taxonomic arrangement for the project PINV01-528 follows Galati (1995, 2003), who elevated several subgenera to generic status based on phylogenetic analyses. Under this system, the species is placed within the genus Migonemyia Galati, 1995, as the type species of the genus. The spelling ""Mygonemyia"" is a common orthographic error; the correct nomenclature is Migonemyia (Galati, 1995)."
LUTZOMYIA CRUZI;Lutzomyia (Lutzomyia) cruzi (Mangabeira, 1938);"Originally described as Flebotomus cruzi by Mangabeira (1938), this species is a member of the Lutzomyia longipalpis species complex within the subgenus Lutzomyia França, 1924. It is morphologically similar to Lu. longipalpis, but males can be distinguished by the shorter length of the paramere and the arrangement of the setae on the coxite. Its status as a distinct species is supported by morphological, biochemical, and molecular data (Young & Duncan, 1994; Galati, 2003)."
PSATHYROMYIA PUNTIGENICULATA;Psathyromyia (Psathyromyia) puntigeniculata (Floch & Abonnenc, 1944);"The species was originally described as Phlebotomus puntigeniculatus by Floch and Abonnenc (1944) based on specimens collected in French Guiana. It was later included in the genus Lutzomyia as Lutzomyia puntigeniculata within the shannoni species group (Young & Duncan, 1994). Following the taxonomic reclassification of the Phlebotominae by Galati (2003), the species was transferred to the genus Psathyromyia Barretto, 1962, and placed within the subgenus Psathyromyia. This classification remains the current consensus in Neotropical dipterology (Galati, 2018; Galati, 2021)."
PINTOMYIA MISIONENSIS;Pintomyia (Pintomyia) misionensis (Castro, 1959);The species was originally described as Phlebotomus misionensis by Castro (1959) from specimens collected in the Misiones Province, Argentina. It was later included in the genus Lutzomyia under the subgenus Pintomyia. Following the phylogenetic classification proposed by Galati (2003), the subgenus Pintomyia Costa Lima, 1932 was elevated to the status of genus. Currently, Pintomyia misionensis is recognized as a valid species within the tribe Phlebotomini, subtribe Lutzomyiina (Galati, 2018).
NISSOMYIA NEIVAI;Nyssomyia neivai (Pinto, 1926);Originally described as Phlebotomus neivai by Pinto (1926), this species was long considered a junior synonym of Nyssomyia intermedia (Lutz & Neiva, 1912). However, it was resurrected as a valid species by Marcondes (1996) based on detailed morphological analyses of the spermathecae in females and the parameres in males. Under the classification system proposed by Galati (2003), the species is placed within the genus Nyssomyia Barretto, 1962. It is a member of the intermedia complex, and its taxonomic status is widely accepted in current Neotropical dipterology (Galati, 2018).
BRUMPTOMYIA SPP; Brumptomyia França & Parrot, 1921;The genus Brumptomyia was established by França and Parrot (1921) to classify a group of Neotropical phlebotomine sand flies that were morphologically distinct from the genus Phlebotomus. It is recognized as a valid monophyletic genus within the subfamily Phlebotominae. Morphologically, males are distinguished by having a basal tuft of setae on the gonocoxite and relatively complex parameres, while females possess spermathecae with distinct neck-like structures and long individual ducts. According to Young and Duncan (1994), Brumptomyia species are restricted to the New World, ranging from the southern United States to northern Argentina, and are taxonomically separated from Lutzomyia sensu lato by their specific ecological niches and genital morphology.
MIGONEMYIA MIGONEI MIGONEI;Migonemyia (Migonemyia) migonei (França, 1920);"Originally described as Phlebotomus migonei by França (1920), the species was later included in the genus Lutzomyia. According to the phylogenetic classification proposed by Galati (1995, 2003), it was reclassified into the genus Migonemyia. The use of the trinomial Migonemyia migonei migonei is considered obsolete in current dipterology; the species is recognized as monotypic throughout its wide distribution in South America (from Colombia to Argentina). Therefore, the repetition of the specific epithet as a subspecies is taxonomically redundant and not supported by current morphological or molecular evidence."
EVANDROMYIA LENTI LENTI;Evandromyia (Evandromyia) lenti (Mangabeira, 1938);La especie fue descrita originalmente por Mangabeira en 1938 bajo el nombre Flebotomus lenti. Posteriormente, tras las revisiones taxonómicas de la familia Psychodidae, subfamilia Phlebotominae, fue transferida al género Evandromyia establecido por el mismo autor en 1941. De acuerdo con la clasificación filogenética propuesta por Galati (2003, 2018) y ampliamente aceptada en la región neotropical, se ubica en el subgénero Evandromyia, serie lenti. El uso del nombre subespecífico (trinominal) es actualmente redundante en la literatura técnica moderna, prefiriéndose el binomio Evandromyia lenti, a menos que se realicen estudios comparativos con poblaciones geográficamente aisladas que justifiquen una subdivisión subespecífica.
LUTZOMYIA LONGIPALPIS LONGIPALPIS;Lutzomyia (Lutzomyia) longipalpis (Lutz & Neiva, 1912);"The taxon was originally described as Phlebotomus longipalpis by Lutz and Neiva in 1912. It was later reassigned to the genus Lutzomyia following the taxonomic revisions that separated New World sand flies from the Old World genus Phlebotomus. According to the classification system proposed by Galati (2003), it belongs to the subgenus Lutzomyia. Although the trinomial Lutzomyia longipalpis longipalpis has been used in the past to denote the nominate subspecies, contemporary teaxonomy and molecular evidence suggest that L. longipalpis is a species complex (sensu lato) rather than a group of subspecies. Therefore, the binomial Lutzomyia longipalpis is the currently accepted valid name for the species (Young & Duncan, 1994; Galati, 2018)."
NYSSOMYIA NEIVAI NEIVAI;Nyssomyia neivai (Pinto, 1926);The taxon was originally described as Phlebotomus neivai by Pinto (1926). Following the taxonomic revisions of the subtribe Psychodopygina, it was placed within the genus Lutzomyia and later transferred to the genus Nyssomyia (Galati, 2003). Although sometimes referred to with a trinomial name in older literature or specific regional contexts, modern Phlebotominae systematics treats Nyssomyia neivai as a monotypic species. It was resurrected from synonymy with Nyssomyia intermedia by Marcondes (1996), who established morphological and bio-ecological differences between the two species, a distinction further supported by molecular studies and formal redescription (Andrade Filho et al., 2003).
EVANDROMYIA CORTELEZZI CORTELEZZI;Evandromyia (Evandromyia) cortelezzii (Brèthes, 1923);"Originally described as Phlebotomus cortelezzii (Brèthes, 1923), the species was later reassigned to the genus Lutzomyia and subsequently to Evandromyia under the subgenus Evandromyia, following the taxonomic stability provided by Galati (2003). The use of the trinomial Evandromyia cortelezzii cortelezzii is considered obsolete in modern classification; current Neotropical dipterology treats it as a species within the cortelezzii complex. This complex includes E. cortelezzii, E. sallesi, and E. corumbaensis, where females are often morphologically indistinguishable, requiring the binomial nomenclature supported by Galati (2021)."
PSATHYROMYIA PUNTIGENICULATA PUNTIGENICULATA;Psathyromyia (Psathyromyia) puntigeniculata (Floch & Abonnenc, 1944);"Originally described as Phlebotomus puntigeniculatus by Floch and Abonnenc in 1944. It was later placed within the genus Lutzomyia, subgenus Psathyromyia. According to the phylogenetic classification proposed by Galati (2003), the subgenus Psathyromyia was elevated to generic status. The use of the trinomial Psathyromyia puntigeniculata puntigeniculata is currently deprecated in modern taxonomic revisions, as the subspecies distinctions within this taxon are not widely recognized or supported by morphological and molecular evidence. Therefore, the species is treated as a single taxon: Psathyromyia (Psathyromyia) puntigeniculata (Galati, 2018; 2021)."
BRUMPTOMYIA BRUMPTI BRUMPTI;Brumptomyia brumpti (Larrousse, 1920);The taxon was originally described as Phlebotomus brumpti by Larrousse (1920). It was later moved to the genus Brumptomyia, established by França & Parrot (1921), of which it is the type species. In modern Neotropical Phlebotominae taxonomy, the use of trinomial nomenclature for this species is considered redundant or obsolete. According to the classification systems proposed by Young & Duncan (1994) and updated by Galati (2018), the species is recognized as Brumptomyia brumpti. The nominate subspecies Brumptomyia brumpti brumpti is treated simply as a synonym of the species, as no valid subspecies are currently recognized within this taxon.
EVANDROMYIA CORTELEZZII CORTELEZZII;Evandromyia (Aldamyia) cortelezzii (Brethes, 1923);"Originally described as Phlebotomus cortelezzii by Brethes (1923), the species was later reassigned to the genus Evandromyia, subgenus Aldamyia, following the phylogenetic and morphological classification established by Galati (2003). The use of the trinomial Evandromyia cortelezzii cortelezzii is considered outdated in modern Neotropical dipterology; the taxon is currently recognized at the species level. It belongs to the ""cortelezzii complex,"" which also includes E. sallesi and E. corumbaensis. This complex is characterized by the morphological similarity of females, which are often indistinguishable, requiring male terminalia for definitive specific identification (Galati, 2021)."
BRUMPTOMYIA AVELLARI AVELLARI;Brumptomyia avellari (Costa Lima, 1932);"The species was originally described as Phlebotomus avellari by Costa Lima (1932). It was subsequently transferred to the genus Brumptomyia by Theodor (1948). The use of the trinomial Brumptomyia avellari avellari was used in older classifications to distinguish the nominate subspecies; however, modern taxonomic revisions and phylogenetic catalogs (Galati, 2003; Galati, 2018; Shimabukuro et al., 2017) do not recognize valid subspecies for this taxon, treating the name as Brumptomyia avellari."
NYSSOMYIA WHITMANI WHITMANI;Nyssomyia whitmani (Antunes & Coutinho, 1939);The taxon was originally described as Phlebotomus whitmani by Antunes and Coutinho in 1939. It was later transferred to the genus Nyssomyia following the classification systems of Barretto (1962) and subsequently Galati (2003). The use of the trinomial Nyssomyia whitmani whitmani is considered taxonomically redundant and obsolete in modern Neotropical sand fly nomenclature, as there are currently no recognized or valid subspecies within this taxon. According to the phylogenetic and morphological revisions by Galati (2003, 2018), the species is treated as a monotypic binomen.
PINTOMYIA KUSCHELI KUSCHELI;Pintomyia (Pintomyia) kuscheli (Forattini, 1954);"The species was originally described as Phlebotomus kuscheli by Forattini (1954) from specimens collected in Chile. Following the taxonomic restructuring of the subfamily Phlebotominae by Galati (2003), the species was reassigned to the genus Pintomyia Costa Lima, 1932, and the subgenus Pintomyia. The use of the trinomial Pintomyia kuscheli kuscheli refers to the nominate subspecies; however, in most modern taxonomic checklists (Galati, 2018; 2021), it is treated at the species level as Pintomyia kuscheli unless specifically differentiating from other described subspecies within its range."
TRIATOMA SORDIDA;Triatoma sordida (Stål, 1859);"The species was originally described by Stål in 1859 under the binomen Conorhinus sordidus. It was later transferred to the genus Triatoma. It is currently recognized as a valid species and serves as the head of the Triatoma sordida subcomplex. Taxonomical stability has been maintained through morphological and molecular characterization, which distinguishes it from cryptic or closely related species such as Triatoma rosai and Triatoma garciabesi (Galvão et al., 2003; Alevi et al., 2020)."
TRIATOMA GUASAYANA;Triatoma guasayana Wygodzinsky & Abalos, 1949;"Triatoma guasayana was described by Wygodzinsky and Abalos in 1949. It is recognized as a valid species within the Triatoma infestans subcomplex. Morphologically, it is closely related to T. sordida and T. patagonica, but it can be distinguished by specific features of the male genitalia and its distinct chromatic patterns. Its status as a separate biological entity has been confirmed through various taxonomic revisions and molecular phylogenetic analyses (Carcavallo et al., 1999; Galvão et al., 2003)."
TRIATOMA INFESTANS;Triatoma infestans (Klug, 1834);"The species was originally described by Johann Christoph Friedrich Klug in 1834 under the binomen Reduvius infestans. It was later reassigned to the genus Triatoma Laporte, 1832. This species is the type species of the ""infestans subcomplex"" within the Triatoma infestans complex. Its taxonomic status is well-established and stable based on morphological characters of the head, thorax, and male genitalia, as detailed in the revision of the subfamily Triatominae by Lent & Wygodzinsky (1979)."
PANSTRONGYLUS MEGISTUS;Panstrongylus megistus (Burmeister, 1835);Originally described by Hermann Burmeister in 1835 under the binomen Conorhinus megistus. The species was later transferred to the genus Panstrongylus Berg, 1879. It is currently recognized as a valid species within the tribe Triatomini. The taxonomic status is stable, supported by morphological characterization of the head (short and robust) and the location of the antennal insertion near the eyes (Lent & Wygodzinsky, 1979).
PANSTRONGYLUS GENICULATUS;Panstrongylus geniculatus (Latreille, 1811);Originally described by Latreille (1811) as Reduvius geniculatus based on specimens from French Guiana. It was later moved to the genus Panstrongylus Berg, 1879. This species serves as the type species for the genus Panstrongylus. Its taxonomic status was extensively reviewed and confirmed by Lent & Wygodzinsky (1979) in their definitive revision of the subfamily Triatominae.
TRIATOMA GUASU;Triatoma guasu Lent & Wygodzinsky, 1979;"Triatoma guasu was formally described by Herman Lent and Pedro Wygodzinsky in 1979 during their comprehensive revision of the subfamily Triatominae. The species was identified based on specimens collected in Paraguay. Taxonomically, it is integrated into the Triatoma infestans species group (specifically the T. infestans subcomplex). It is morphologically characterized by its large size (from which its specific epithet ""guasu,"" meaning ""big"" in Guaraní, is derived) and distinct male genitalic structures. Its status as a valid species has been consistently upheld in subsequent checklists and phylogenetic studies (Galvão et al., 2003; Justi & Galvão, 2017)."
TRIATOMA PLATENSIS;Triatoma platensis Neiva, 1913;"Triatoma platensis was formally described by Arthur Neiva in 1913. It belongs to the Triatoma infestans subcomplex (within the infestans complex). The species is morphologically and genetically distinct but maintains a high degree of evolutionary proximity to T. infestans, with which it can produce fertile hybrids under both laboratory and natural conditions in areas of sympatry. Its taxonomic status as a valid species is supported by morphometric analysis and molecular markers (Lent & Wygodzinsky, 1979; Dujardin et al., 2000; Galvão et al., 2003)."
RHODNIUS;Rhodnius Stål, 1859;"The genus Rhodnius was established by Carl Stål in 1859. It is currently recognized as a valid genus within the tribe Rhodniini of the subfamily Triatominae (Hemiptera: Reduviidae). Taxonomically, the genus is distinguished from other triatomines by the insertion of the antennae at the anterior extremity of the head (near the apex) and the presence of postocular callosities. The monophyly of the genus has been supported by both classical morphological revisions (Lent & Wygodzinsky, 1979) and modern molecular phylogenetic analyses (Galvão et al., 2003; Justi & Galvão, 2017)."
TRIATOMA;Triatoma Laporte, 1832;"The genus Triatoma was established by Laporte in 1832. It is currently recognized as the most diverse genus within the subfamily Triatominae (Hemiptera: Reduviidae), comprising approximately 80 valid species. It serves as the type genus for the tribe Triatomini. Systematic studies based on morphological and molecular data continue to support its validity, although some subgeneric arrangements and species complexes (such as the Triatoma phyllosoma or Triatoma brasiliensis complexes) are subject to ongoing taxonomic refinement (Lent & Wygodzinsky, 1979; Galvão et al., 2003)."
AEDES AEGYPTI;Aedes aegypti (Linnaeus, 1762);The species was originally described as Culex aegypti by Linnaeus in 1762. Over time, it was reassigned to the genus Aedes. Although Reinert et al. (2004) proposed elevating the subgenus Stegomyia to genus level (which would change the name to Stegomyia aegypti), the wider scientific community, particularly in medical entomology, opted to maintain the traditional classification to ensure nomenclatural stability. This position was solidified by Wilkerson et al. (2015), who argued for the retention of Aedes to avoid confusion in public health and clinical literature.
HAEMAGOGUS HAEMAGOGUS SPEGAZZINII;Haemagogus (Haemagogus) spegazzinii Brethés, 1912.;"The species was originally described as Haemagogus spegazzinii by Juan Brèthes in 1912 based on specimens collected in Argentina. It is currently recognized as a valid species within the subgenus Haemagogus. Taxonomic stability was reinforced by Arnell (1973) in his comprehensive revision of the genus, where he clarified the morphological distinctions between H. spegazzinii and the closely related H. capricornii, based on male genitalia and larval characters (Brethés, 1912; Arnell, 1973)."
PSOROPHORA JANTHINOSOMA FEROX;Psorophora (Janthinosoma) ferox (Humboldt, 1819);"The name Psorophora janthinosoma and Psorophora spegazzinii are historical taxonomic treatments that have been resolved through synonymy. Originally described as Culex ferox by Humboldt (1819), the species was later moved to the genus Psorophora, subgenus Janthinosoma. Psorophora spegazzinii (Blanchard, 1905) was once considered a distinct species or subspecies but was definitively synonymized with Psorophora ferox based on morphological consistency across its range in the Americas (Knight & Stone, 1977). The term ""janthinosoma"" is currently recognized as the subgeneric rank, not a specific epithet for this taxon."
OCHLEROTATUS CHRYSOCONOPS FULVUS;Aedes (Ochlerotatus) fulvus (Wiedemann, 1828);"The name Ochlerotatus chrysoconops fulvus is a taxonomic combination of synonyms. The species was originally described as Culex fulvus by Wiedemann in 1828. The name Culex chrysoconops Wiedemann, 1821 is considered a junior synonym of Aedes fulvus. Following the phylogenetic revisions by Reinert (2000), Ochlerotatus was elevated to generic rank; however, subsequent consensus and the comprehensive reclassification by Wilkerson et al. (2015) treat Ochlerotatus as a subgenus within the genus Aedes. Therefore, the valid name for this taxon is Aedes (Ochlerotatus) fulvus (Wiedemann, 1828)."
OCHLEROTATUS OCHLEROTATUS SCAPULARIS;Aedes (Ochlerotatus) scapularis (Rondani, 1848);The species was originally described as Culex scapularis by Rondani (1848). While Reinert et al. (2004) elevated the subgenus Ochlerotatus to the rank of genus, subsequent comprehensive phylogenetic and taxonomic reviews led by Wilkerson et al. (2015) argued for the restoration of Ochlerotatus as a subgenus within the genus Aedes. This reclassification was proposed to maintain nomenclatural stability among mosquitoes of significant medical and veterinary importance. Therefore, the valid name recognized by the international community and the Walter Reed Biosystematics Unit (WRBU) is Aedes scapularis.
OCHLEROTATUS SERRATUS;Aedes (Ochlerotatus) serratus (Theobald, 1901);The species was originally described as Culex serratus by Theobald (1901). For much of the 20th century, it was classified under the genus Aedes, subgenus Ochlerotatus. Following the taxonomic revision by Reinert (2000), Ochlerotatus was elevated to the genus level, making the combination Ochlerotatus serratus widely used in literature. However, more recent comprehensive phylogenetic analyses and taxonomic stability efforts (Wilkerson et al., 2015) have returned Ochlerotatus to subgeneric status within the genus Aedes. Consequently, the valid name is Aedes (Ochlerotatus) serratus.
PSOROPHORA JANTHINOSOMA ALBIGENU;Psorophora (Janicomyia) albigenu (Peryassú, 1908);"The taxon was originally described as Janicomyia albigenu by Peryassú in 1908. While historical literature sometimes treated it as a variety or synonym within the ""janthinosoma"" group or associated it with Psorophora albipes, modern taxonomic classifications recognize it as a valid species. The species is placed within the subgenus Janicomyia. Its status as a distinct species has been upheld in major taxonomic revisions and catalogs, including those by Lane (1953) and Knight & Stone (1977), based on distinct morphological features of the adult female and male genitalia."
HAEMAGOGUS HAEMAGOGUS CELESTE;Haemagogus (Haemagogus) celeste Dyar, 1921;The tLa especie fue descrita originalmente por Harrison G. Dyar en 1921 a partir de especímenes recolectados en Trinidad. Pertenece al subgénero Haemagogus y se distingue de otras especies del género por la morfología de la genitalia del macho y el patrón de escamas metálicas en el tórax y abdomen. La validez taxonómica de Haemagogus celeste ha sido ratificada en revisiones sistemáticas profundas de la tribu Aedini y del género en la región Neotropical (Arnell, 1973), manteniéndose como un nombre aceptado en las bases de datos zoológicas actuales.
SABETHES SABETHINUS INTERMEDIUS;Sabethes (Sabethoides) intermedius Lutz, 1904;"The taxon was originally described as Sabethoides intermedius by Lutz in 1904. Subsequent taxonomic revisions by Lane (1953) and the world catalog by Knight & Stone (1977) confirmed its status as a valid species within the genus Sabethes, specifically under the subgenus Sabethoides. The combination ""Sabethes sabethinus intermedius"" is an obsolete trinomial or a historical misclassification; current mosquito taxonomy recognizes Sabethes intermedius (Lutz, 1904) and Sabethes sabethinus (Lutz, 1905) as two distinct, valid species. Following the Principle of Priority (ICZN), Sabethes intermedius is the correct name for the taxon described by Lutz in 1904."
AEDES STEGOMYIA AEGYPTI;Aedes (Stegomyia) aegypti (Linnaeus, 1762);The species was originally described as Culex aegypti by Linnaeus in 1762. While Reinert, Harbach, and Kitching (2004) proposed elevating the subgenus Stegomyia to the rank of genus (which would make the name Stegomyia aegypti), this change faced significant resistance from the global scientific and public health communities. To ensure nomenclatural stability and prevent confusion in epidemiological reporting, Wilkerson et al. (2015) reclassified the tribe Aedini, relegating Stegomyia back to a subgeneric level under the genus Aedes. This consensus is currently followed by major taxonomic databases and medical entomology organizations.
SABETHES SABETHES QUASICYANEUS;Sabethes (Sabethes) quasicyaneus Peryassú, 1922;The taxon was originally described as a distinct species by Peryassú (1922). Although some historical classifications treated various members of the Sabethes genus with ambiguity regarding their specific or subspecific status, Sabethes quasicyaneus is currently recognized as a valid species within the subgenus Sabethes. This status is supported by morphological revisions of the genus, particularly those focusing on the male genitalia and adult ornamentation, which distinguish it from closely related taxa such as Sabethes cyaneus (Harbach, 1994).
SABETHES SABETHOIDES CHLOROPTERUS;Sabethes (Sabethes) chloropterus (Humboldt, 1819);The name Sabethes sabethoides (Surcouf & Gonzalez-Rincones, 1911) is a junior synonym of Sabethes chloropterus (Humboldt, 1819). Originally described by Humboldt as Culex chloropterus, the species was later reassigned to the genus Sabethes. The taxon sabethoides was formally synonymized under chloropterus after taxonomic revisions confirmed they represented the same biological entity, characterized by the metallic blue-green reflections and specific larval habitats in tree holes. Current nomenclature follows the World Mosquito Catalog and the Mosquito Taxonomic Inventory (Harbach, 2024).
SABETHES SABETHOIDES GLAUCODAEMON;Sabethes (Sabethes) glaucodaemon (Dyar & Shannon, 1925);The taxon was originally described as a valid species, Sabethes glaucodaemon, by Dyar & Shannon (1925). Although historical treatments occasionally listed it as a subspecies or variety of Sabethes sabethoides, taxonomic revisions by Lane (1953) and subsequent catalogs (Knight & Stone, 1977) confirmed its status as a distinct species. Morphological characteristics, particularly in the male genitalia and the distribution of iridescent scales on the legs and thorax, distinguish it from Sa. sabethoides. It is currently classified within the subgenus Sabethes.
PSOROPHORA JANTHINOSOMA LUTZII;Psorophora (Janthinosoma) lutzii (Theobald, 1901);"The taxon was originally described by Theobald (1901) as Janitinosoma lutzii. It is currently recognized as a valid species within the subgenus Janthinosoma of the genus Psorophora. The combination ""Psorophora janthinosoma lutzii"" is taxonomically incorrect as it treats the subgenus name as a specific epithet or part of a trinomial nomenclature. According to the current classification of the Culicidae, Psorophora lutzii is the correct specific name (Theobald, 1901; Knight & Stone, 1977)."
SABETHES SABETHES BELISARIOI;Sabethes (Sabethes) belisarioi Neiva, 1908;"The species was originally described by Neiva (1908) under the binomen Sabethes belisarioi. According to the current taxonomic arrangement and the World Mosquito Catalog, it is classified as a valid species within the subgenus Sabethes. The nomenclature follows the principle of priority and subsequent taxonomic stability established in major revisions of the tribe Sabethini (Knight & Stone, 1977; Harbach, 1994)."
WYEOMYIA TRIAMYIA APORONOMA;Wyeomyia (Triamyia) aporonoma Dyar & Knab, 1906;Wyeomyia aporonoma was originally described by Dyar and Knab in 1906. It is currently recognized as a valid species within the subgenus Triamyia, of which it is the type species (established by Edwards, 1932). Taxonomic stability has been maintained through major revisions of the Sabethini tribe, including the comprehensive catalogs by Knight and Stone (1977) and the subsequent updates in the Mosquito Taxonomic Inventory. Morphological characteristics of the male genitalia and larval features distinguish it from other members of the genus Wyeomyia.
SABETHES SABETHES ALBIPRIVUS;Sabethes (Sabethes) albiprivus Theobald, 1903.;The species was originally described by Theobald (1903) based on specimens collected in Brazil. It is currently recognized as a valid and distinct species within the subgenus Sabethes. Its taxonomic status has remained stable, and it is frequently cited in Neotropical culicidology as a primary member of the sylvatic mosquito fauna in South America (Harbach, 2024).
SABETHES SABETHES BIPARTIPES;Sabethes (Sabethes) bipartipes Dyar & Knab, 1906.;The species was originally described by Dyar and Knab (1906) based on specimens from Santo Domingo. It is currently classified as a valid species within the subgenus Sabethes. The taxonomic status has remained stable throughout major Neotropical mosquito revisions, including the comprehensive work of Lane (1953) and current classifications maintained in the Mosquito Taxonomic Inventory (Harbach, 2024).
HAEMAGOGUS CONOPOSTEGUS LEUCOCELAENUS;Haemagogus (Conopostegus) leucocelaenus (Dyar & Shannon, 1924);"The taxon was originally described as Verrallina leucocelaena by Dyar & Shannon (1924). It was later transferred to the genus Haemagogus. The name ""conopostegus"" mentioned in the query refers to the subgenus Conopostegus, established by Dyar (1928), to which this species belongs. According to the systematic revision by Arnell (1973) and the world catalog by Knight & Stone (1977), Haemagogus leucocelaenus is the valid specific name, while Conopostegus is its subgeneric classification. There is no valid subspecies or specific name ""conopostegus leucocelaenus"" as a trinomial; rather, it represents the subgenus and species combination."
OCHLEROTATUS FLUVIATILIS;Aedes (Ochlerotatus) fluviatilis (Lutz, 1904);Originalmente descrita como Culex fluviatilis por Lutz en 1904, la especie fue posteriormente transferida al género Aedes. Durante la reasignación taxonómica propuesta por Reinert et al. (2004), el subgénero Ochlerotatus fue elevado a nivel de género, clasificando a esta especie como Ochlerotatus fluviatilis. Sin embargo, siguiendo los criterios de Wilkerson et al. (2015), se ha restablecido la clasificación que considera a Ochlerotatus como un subgénero dentro de Aedes para mantener la estabilidad nomenclatural. Por lo tanto, el nombre aceptado actualmente bajo el consenso taxonómico mayoritario es Aedes fluviatilis.
SABETHES BELISARIOI;Sabethes (Sabethoides) belisarioi Neiva & Pinto, 1923;The species was originally described by Neiva and Pinto in 1923. It is currently recognized as a valid species belonging to the subgenus Sabethoides. Taxonomic stability has been maintained through major revisions of the Sabethini tribe, including the classifications provided by Lane (1953) and subsequently confirmed in the catalogs of Knight and Stone (1977) and the Mosquito Taxonomic Inventory. The species is distinguished from others in the subgenus by specific morphological characters of the male genitalia and the patterns of metallic scales on the thorax and legs.
SABETHES SABETHES AMAZONICUS;Sabethes (Sabethes) amazonicus Gordon & Evans, 1922;"The taxon was originally described as a distinct species by Gordon and Evans (1922) based on specimens collected in Manaus, Brazil. Although the user referred to it as ""Sabethes sabethes amazonicus,"" the correct systematic nomenclature identifies Sabethes as the genus and Sabethes as the subgenus, with amazonicus as the specific epithet. Current taxonomic classifications (Harbach, 2013; Knight & Stone, 1977) maintain Sabethes amazonicus as a valid species within the tribe Sabethini. There are no current subspecific divisions for this taxon."
SABETHES SABETHES PURPUREUS;Sabethes (Sabethes) purpureus (Theobald, 1907);The species was originally described by Theobald (1907) as Sabethes purpureus based on specimens collected in Brazil. It is currently recognized as a valid species within the subgenus Sabethes of the genus Sabethes. The taxonomic status has been maintained through various revisions of the tribe Sabethini, characterized by its metallic structural coloration and specific silver scales on the pleura. According to Harbach (2024), it remains a distinct biological entity within the Neotropical mosquito fauna.
PSOROPHORA ALBIGENU;Psorophora (Janthinosoma) albigenu (Peryassú, 1908);"Originally described as Janthinosoma albigenu by Peryassú (1908), this species is currently placed within the subgenus Janthinosoma of the genus Psorophora. Its taxonomic validity is supported by morphological distinctions in the adult female color patterns and male genitalic structures, which differentiate it from other members of the ""Albipes"" series. Lane (1953) corroborated its status in his comprehensive review of Neotropical Culicidae, separating it from Ps. albipes and Ps. varipes."
OCHLEROTATUS HASTATUS;Aedes (Ochlerotatus) hastatus (Dyar, 1907);The species was originally described as Aedes hastatus by Dyar (1907). For a period following the taxonomic revision by Reinert (2000), which elevated the subgenus Ochlerotatus to the rank of genus, the name Ochlerotatus hastatus was widely used. However, a major reclassification of the tribe Aedini by Wilkerson et al. (2015) reverted Ochlerotatus to a subgeneric status within the genus Aedes to prioritize nomenclatural stability and reflect phylogenetic relationships. Under the current consensus utilized by the Walter Reed Biosystematics Unit (WRBU) and the PINV01-528 project, the valid name is Aedes (Ochlerotatus) hastatus.
PSOROPHORA JANTHINOSOMA ALBIPES;Psorophora (Janthinosoma) albipes (Theobald, 1907);"The species was originally described as Janthinosoma albipes by Theobald (1907). It was later reassigned to the genus Psorophora, subgenus Janthinosoma. It is a valid and distinct species, often differentiated from closely related species such as Psorophora ferox by the characteristic white scaling on the hindtarsomeres, specifically where hindtarsomeres 3, 4, and 5 are entirely white. Its taxonomic status as a full species is maintained in major mosquito catalogs (Knight & Stone, 1977; Harbach, 2024)."
PSOROPHORA FEROX;Psorophora (Janthinosoma) ferox (Humboldt, 1819);"Originally described as Culex ferox by Humboldt (1819) from specimens collected in present-day Colombia. The species was later transferred to the genus Psorophora and placed within the subgenus Janthinosoma. It is recognized as a valid species and the type species for the Ferox Group. Its taxonomic status is supported by morphological characteristics of the adult female (conspicuous white scales on the hindtarsomeres) and male genitalia (Knight & Stone, 1977; Ward, 2005)."
LIMATUS DURHAMII;Limatus durhamii Theobald, 1901;Limatus durhamii was described by Frederick Vincent Theobald in 1901 and serves as the type species for the genus Limatus. The taxonomic status of this species has remained stable as a valid taxon within the tribe Sabethini of the family Culicidae. It is widely distributed across the Neotropical region, from Mexico to Argentina (Theobald, 1901).
PSOROPHORA PSOROPHORA CILIATA;Psorophora (Psorophora) ciliata (Fabricius, 1794);"The species was originally described by Fabricius in 1794 under the name Culex ciliatus. It was later designated as the type species of the genus Psorophora by Robineau-Desvoidy in 1827. The current taxonomic classification places it within the subgenus Psorophora based on the morphological characteristics of the adult (large size, shaggy scales on legs) and larval stages, as detailed in the comprehensive revisions of the Culicidae (Knight & Stone, 1977; Belkin, 1962)."
